filename,affective_korean
0.jpg,"미세한 회색과 베이지 패턴이 흩뿌려진 밝은 톤의 표면이 차분하면서도 자연스러운 스톤 느낌을 준다. 약하게 광을 띠는 매끄러운 질감이 차가운 촉감과 단단한 무게감을 동시에 전달해, 모던하지만 과하지 않은 고급스러움이 느껴진다."
1.jpg,"은은한 갈색 톤 위로 자연스러운 우드 패턴이 흐르며, 따뜻하고 편안한 인상을 준다. 살짝 글로시한 코팅으로 매끄럽게 마감되어 손에 쥐었을 때 단단하지만 부드러운, 정제된 우디한 감성이 느껴진다."
2.jpg,"은은한 붉은 기가 도는 우드 톤이 따뜻하고 차분한 분위기를 만들며, 자연스러운 결이 고요하게 흐른다. 반광 정도의 매트한 마감으로 거슬림 없이 매끄럽지만, 단단한 밀도와 견고함이 시각적으로 느껴진다."
3.jpg,"차분한 아이보리 톤 위에 미세하게 점처럼 박힌 입자가 은은하게 빛나, 깨끗하면서도 단조롭지 않은 표정을 만든다. 매끄럽게 코팅된 듯한 글로시 표면이 얇은 유리층을 덧댄 느낌을 주어, 위생적이고 모던한 인상을 준다."
4.jpg,"선명한 레몬 옐로 컬러가 가볍고 경쾌한 인상을 주며, 전체적으로 밝고 유쾌한 분위기를 만든다. 조밀하게 뭉친 발포 재질의 입자가 미세하게 반짝이며, 약간 거친 듯하면서도 말랑한 촉감이 연상되는 경량의 플라스틱 질감이다."
5.jpg,"부드럽게 모서리가 말린 순백의 표면이 미세한 글로시감과 함께 정제된, 모던한 인상을 준다. 차갑지도 따뜻하지도 않은 중성의 백색이 균일하게 퍼져 있어, 무게감보다는 가볍고 미니멀한 오브제를 떠올리게 한다."
6.jpg,"옅은 회백색의 톤이 전체적으로 균일하게 깔려 있어 차분하고 정제된 인상을 준다. 매우 미세한 브러쉬 결이 거의 느껴지지 않을 정도로 부드럽게 흐르며, 은은한 새틴 광택이 더해져 가벼우면서도 단단한 금속 표면 같은 모던한 느낌을 만든다."
7.jpg,"따뜻한 베이지 톤 위에 흩뿌려진 미세한 흰색 패턴이 모래알처럼 촘촘하게 퍼져, 부드럽고 자연스러운 인상을 준다. 광택은 거의 없는 매트한 질감으로 빛을 은은하게 흡수해, 가볍지만 단단하고 실용적인 느낌을 만든다."
8.jpg,"미세한 입자가 섞인 듯한 따뜻한 아이보리 톤으로, 차분하고 부드러운 매트 질감이 포근한 분말을 얹은 듯한 인상을 준다. 날카롭지 않은 라운드 엣지와 얕은 홀 디테일이 더해져, 가벼우면서도 견고한, 정제된 미니멀리즘을 느끼게 한다."
9.jpg,"따뜻한 아이보리 톤이 부드럽게 번져 나와 편안하고 정제된 인상을 준다. 유광 코팅된 표면이 얇게 빛을 머금은 듯 매끄럽게 반사되어, 실키하지만 과하지 않은 프리미엄 느낌을 만든다."
10.jpg,은은한 회색 톤의 레더 표면이 과하지 않은 세미 매트 광택을 띠며 차분하고 정제된 인상을 준다. 잔잔하게 갈라진 자연스러운 주름 텍스처가 손에 닿았을 때 부드럽지만 단단한 내구성을 떠올리게 해 프리미엄이지만 편안한 분위기를 만든다.
11.jpg,짙은 블랙 컬러에 글로시한 코팅이 더해져 차갑고 단단한 인상의 메탈릭 표면을 만든다. 매끄럽게 반사되는 빛 덕분에 군더더기 없는 모던함과 약간의 하이테크적인 긴장감이 느껴진다.
12.jpg,"부드러운 로즈 브론즈 톤의 금속광이 은은하게 번져, 차분하면서도 세련된 인상을 준다. 매끄럽고 반사감이 과하지 않은 새틴 느낌의 표면이 단단한 직선 형태와 어우러져, 묵직하지만 모던한 분위기를 만든다."
13.jpg,"은은한 크림 베이지 톤이 따뜻하고 차분한 인상을 주며, 눈에 띄지 않게 정제된 느낌이다. 반광의 매끄러운 표면이 플라스틱 특유의 가벼움 속에서도 견고하고 실용적인 분위기를 만든다."
14.jpg,"짙은 흑색 위로 섬세한 주름 결이 얽혀 있어 묵직하고 차분한 인상을 준다. 약한 글로시 광이 결 사이에서 은은하게 반사되며, 단단하지만 손에 쥐었을 때는 유연하게 따라올 것 같은 가죽 특유의 촉감을 떠올리게 한다."
15.jpg,"따뜻한 살구빛과 붉은 결이 뒤섞여 자연스럽게 흐르는 우디한 표정이 느껴진다. 미세한 층들이 입체적으로 겹쳐져 텍스처가 풍부하면서도, 표면은 비교적 매끄럽고 건조한 느낌이라 고요하고 차분한 인상을 준다."
16.jpg,"따뜻한 갈색 톤의 가죽 표면이 은은한 광택을 머금고 있어 사용감이 더해질수록 깊어질 것 같은 편안한 인상을 준다. 미세한 주름과 결이 자연스럽게 퍼져 있어 손에 쥐면 단단하면서도 유연한, 클래식하고 묵직한 분위기가 느껴진다."
17.jpg,"짙은 청록색이 차분하면서도 선명하게 느껴져, 깊은 물속을 떠올리게 하는 고요한 인상을 준다. 미세한 촘촘한 텍스처 위로 은은한 광택이 돌아, 거칠지 않으면서도 단단하고 견고한 표면감이 강조된다."
18.jpg,"선명한 형광 오렌지 컬러가 강렬하게 눈을 끌며, 깨끗이 코팅된 듯한 글로시 표면이 매끄럽고 단단한 인상을 준다. 빛을 또렷하게 반사하는 광택 덕분에 가볍지만 에너지 넘치는, 스포티하고 산업적인 느낌이 강조된다."
19.jpg,"깊은 녹색 톤과 약한 광택이 어우러져 차분하면서도 약간 묵직한 인상을 준다. 표면은 매끄럽고 코팅된 듯 균일하게 빛을 반사해, 실내에서 사용했을 때 모던하고 정제된 분위기를 만들 것 같다."
20.jpg,"짙은 흑갈색에 가까운 색감이 깊고 묵직한 인상을 주며, 차분하게 가라앉은 톤이 공간을 어둡게 감싸는 느낌이다. 높은 글로시 광택과 매끄러운 표면이 주변을 또렷하게 비추어, 차가우면서도 정제된 프리미엄 이미지를 만든다."
21.jpg,"미세한 메탈릭 레드 입자가 촘촘히 깔려 있어 선명하면서도 강렬한 에너지가 느껴진다. 표면은 잔잔하게 반짝이지만 전체적으로는 매트에 가까운 건조한 질감이라, 글로시한 화려함보다 단단하고 산업적인 인상을 준다."
22.jpg,"옅은 회백색 바탕에 번진 듯한 마블 패턴이 섞여 있어 차분하면서도 산업적인 콘크리트 느낌을 준다. 매트하고 건조한 표면에 미세한 기포 자국이 점점이 박혀 있어, 단단하고 묵직하지만 과하지 않은 질감의 깊이가 느껴진다."
23.jpg,"미세한 메탈릭 입자가 촘촘하게 깔려 있어, 차분한 금속광이 균일하게 번지며 안정된 인상을 준다. 왼쪽의 따뜻한 빛에서 오른쪽의 차가운 블루 톤으로 부드럽게 그라데이션되며, 시원하면서도 고급스러운, 하이테크적인 분위기를 만든다."
24.jpg,"연한 베이지 톤의 우드 패턴이 차분하고 자연스러운 인상을 주며, 전체적으로 고요하고 밝은 분위기를 만든다. 매트에 가까운 표면과 미세하게 느껴지는 나뭇결 텍스처가 종이 같은 건조함과 가벼운 무게감을 떠올리게 한다."
25.jpg,짙은 카키 그린 컬러가 과하지 않게 채도가 눌려 있어 차분하고 자연 친화적인 인상을 준다. 미세한 가죽 텍스처와 매트한 표면이 빛을 부드럽게 흡수해 묵직하면서도 손에 닿았을 때 포근할 것 같은 소프트터치 느낌을 만든다.
26.jpg,"따스한 베이지 톤 위에 촘촘히 흩뿌려진 미세한 점들이 모래와 스톤이 섞인 듯 자연스러운 인상을 준다. 은은한 글로시 광택이 매끄럽게 번지며, 전체적으로 묵직하지만 과하지 않은 고급스러운 표면감이 느껴진다."
27.jpg,"따뜻한 테라코타 브라운 톤이 전반적으로 차분하고 자연스러운 분위기를 만든다. 미세한 매트 질감과 둥글게 떨어지는 모서리가 부드럽고 소프트터치한 촉감을 떠올리게 하며, 얇게 코팅된 듯한 표면이 가볍지만 견고한 인상을 준다."
28.jpg,"연한 민트 색감이 차분하고 시원한 인상을 주며, 전반적으로 매트한 표면이 산뜻하지만 과하지 않은 존재감을 만든다. 중앙의 미세하게 거친 텍스처와 주변의 매끄러운 면이 대비를 이루어, 부드럽지만 단단하게 보호받는 듯한 안전한 느낌을 준다."
29.jpg,"부드러운 베이지 톤의 패브릭이 은은하게 정제된 느낌을 주며, 시각적으로도 포근하고 따뜻한 인상을 만든다. 촘촘하지만 과하게 두껍지 않은 짜임 덕분에 가볍고 편안해 보이면서도, 일상적 사용에 견딜 수 있는 차분한 견고함이 느껴진다."
30.jpg,"따뜻한 베이지 톤의 코르크 표면이 은은하게 얼룩져 있어 자연스러운 깊이감과 편안한 분위기를 만든다. 매트하고 미세한 입자가 촘촘히 느껴지는 질감이 부드럽지만 약간 건조한 촉감을 연상시키며, 가볍지만 단단한 인상을 준다."
31.jpg,"엷은 회백색 톤에 미세한 점들이 섞여 있어 자연스러운 멜란지 느낌을 주며, 전체적으로 차분하고 부드럽다. 보송보송한 펠트 질감이 따뜻하고 포근한 인상을 주면서도, 두께감 있는 구조 덕분에 은근히 묵직하고 안정적인 분위기가 느껴진다."
32.jpg,"미색에 가까운 연한 크림 톤이 따뜻하고 차분한 인상을 주며, 시선에 부담을 주지 않는 자연스러운 컬러감이다. 전반적으로 매트하면서도 살짝 코팅된 듯한 부드러운 표면이 소프트터치 느낌을 주고, 얕게 눌린 패턴과 엠보싱 로고가 미세한 텍스처로 단조로움을 덜어준다."
33.jpg,은은한 베이지와 회색이 뒤섞인 스톤 느낌의 표면이 차분하면서도 자연 친화적인 인상을 준다. 매트에 가까운 건조한 질감과 둥글게 떨어지는 곡선 형태가 단단한 무게감 속에서도 부드럽고 편안한 분위기를 만든다.
